,Sub Division,Year of Installation,Project Name,Meter Installation Date,Village,PV Cap. from Form,Ref. DC V,Actual DC V,String 1: DC V,String 1: DC A,String 2: DC V,String 2: DC A,AC V,AC A,Power (W),E-Today (kWh),E-Total (kWh),Gen. in Solar meter (kWh) ,Avg. Solar generation per kW,Verified,Current Status of Inverter,Check List 1: Connection tightness of AC/DC box is ok?,Check List 2: Tightness nearer to meter connection is ok?,Check List 3: Connection of Earthing & L.A. is ok?,Check List 4: DC/AC connector is ok?,Check List 5: Wire Dressing is ok?,Check List 6: Wifi Connection is ok?,Check List 7: Tightness of U & Z clamp is ok?,Check List 8: Colour of  Welding Joint is ok?,Check List 9: Concrete Block is there?,Check  List 10: Visual checking of all parts,Observation
982,PAL SD,2019-20,2019-20R0148,2/22/2020,Pal,3.3,300,324.0,324.0,5.9,0.0,0.0,279.0,6.9,1802.0,3.5,9110.0,9010.0,3.6,Done,Normal,Yes,Yes,Yes,Yes,Yes,WIFI not available at home (ઘર માં WIFI નથી.),Yes,Yes,Yes,Yes,Ok
983,ADAJAN S DN,2019-20,2019-20R0237,1/22/2020,અડાજણ,4.95,450,498.0,264.0,5.8,234.0,5.7,264.0,10.5,2914.0,2.2,14566.0,14371.0,3.67,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Ok
984,PAL SD,2019-20,2019-20R0215,3/5/2020,Pal,1.98,180,211.0,211.0,5.5,0.0,0.0,273.0,7.0,1154.0,2.5,5240.0,5220.0,3.53,Done,Normal,Yes,Yes,Yes,Yes,Yes,WIFI not available at home (ઘર માં WIFI નથી.),Yes,Yes,Yes,Yes,Ok
985,ADAJAN S DN,2019-20,2019-20R0238,1/22/2020,અડાજણ કોલી વાડ,3.3,300,321.0,321.0,5.7,0.0,0.0,276.0,7.3,1771.0,5.1,9527.0,9682.0,3.71,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Ok
986,PAL SD,2019-20,2019-20R0214,3/6/2020,Pal,2.97,270,310.0,310.0,5.9,0.0,0.0,275.0,7.7,1964.0,5.5,7949.0,8000.0,3.61,Done,Normal,Yes,Yes,Yes,Yes,Yes,WIFI not available at home (ઘર માં WIFI નથી.),Yes,Yes,Yes,Yes,Ok
987,PAL SD,2019-20,2019-20R0439,2/22/2020,Pal,3.3,300,347.0,347.0,2.8,0.0,0.0,276.0,3.4,1192.0,2.8,7882.0,8183.0,3.27,Done,Normal,Yes,Yes,Yes,Yes,Yes,"WIFI is available at home but the range does not come up to the inverter. (ઘર માં WIFI છે. પણ, રેનજ નથી આવતી ઇન્વર્ટર સુધી.)",Yes,Yes,Yes,Yes,Ok
988,ADAJAN S DN,2019-20,2019-20R0256,9/1/2020,અડાજણ,5.28,480,492.0,251.0,7.1,241.0,7.5,260.0,13.5,3423.0,8.3,8992.0,9275.0,3.1,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Ok
989,PAL SD,2019-20,2019-20R0150,3/5/2020,Pal,1.98,180,203.0,203.0,7.72,0.0,0.0,257.0,4.75,1263.0,7.3,5327.0,5514.0,3.73,Done,Normal,Yes,Yes,Yes,Yes,Yes,WIFI not available at home (ઘર માં WIFI નથી.),Yes,Yes,Yes,Yes,Ok
990,PAL SD,2019-20,2019-20R0294,2/5/2020,Pal,2.97,270,290.0,290.0,7.92,0.0,0.0,257.0,7.9,1957.0,12,8345.0,8538.0,3.7,Done,Normal,Yes,Yes,Yes,Yes,Yes,WIFI not available at home (ઘર માં WIFI નથી.),Yes,Yes,Yes,Yes,Ok
991,ADAJAN S DN,2019-20,2019-20R0279,2/11/2020,અડાજણ,5.28,480,508.0,246.0,13.4,262.0,6.8,246.0,13.6,3334.0,13,15146.0,14909.0,3.67,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Ok
992,PAL SD,2019-20,2019-20R0142,5/23/2020,Pal,2.97,270,308.0,308.0,5.5,0.0,0.0,239.0,7.1,1646.0,6.3,7064.0,7031.0,3.54,Done,Normal,Yes,Yes,Yes,Yes,Yes,WIFI not available at home (ઘર માં WIFI નથી.),Yes,Yes,Yes,Yes,Ok
